0 0
0.007672 -0.0039629
0.016111 -0.0076931
0.025394 -0.011583
0.035606 -0.016018
0.046838 -0.021005
0.059194 -0.026362
0.072786 -0.032054
0.087737 -0.038219
0.10418 -0.044975
0.12227 -0.052338
0.14217 -0.060296
0.16406 -0.068889
0.18814 -0.0782
0.21462 -0.088296
0.24376 -0.099226
0.27581 -0.11103
0.31106 -0.12378
0.34984 -0.13755
0.39249 -0.15241
0.43942 -0.16845
0.49103 -0.18573
0.5478 -0.20429
0.61026 -0.2242
0.67895 -0.24562
0.75452 -0.26863
0.83354 -0.29181
0.90652 -0.3124
0.97459 -0.33089
1.0388 -0.34806
1.0999 -0.36404
1.1582 -0.37903
1.2143 -0.39318
1.2683 -0.40647
1.3206 -0.41928
1.3714 -0.43135
1.4208 -0.44304
1.469 -0.45416
1.5158 -0.46486
1.5617 -0.47519
1.6063 -0.48506
1.6503 -0.49476
1.6934 -0.50395
1.7356 -0.51302
1.7772 -0.5217
1.818 -0.53017
1.8583 -0.53841
1.8977 -0.54633
1.9368 -0.55419
1.9751 -0.56164
2.013 -0.5691
2.0505 -0.57622
2.0873 -0.58324
2.1239 -0.59008
2.1598 -0.59669
2.1955 -0.60331
2.2307 -0.60956
2.2655 -0.61587
2.3001 -0.62189
2.3341 -0.62787
2.368 -0.6337
2.4014 -0.63935
2.4347 -0.64503
2.4676 -0.65039
2.5001 -0.65584
2.5325 -0.66103
2.5645 -0.66621
2.5964 -0.67127
2.6278 -0.67617
2.6592 -0.68113
2.6903 -0.68579
2.7211 -0.69056
2.7518 -0.6951
2.7821 -0.69963
2.8124 -0.70409
2.8424 -0.70837
2.8723 -0.71276
2.9019 -0.71685
2.9313 -0.72107
2.9607 -0.72508
2.9897 -0.72908
3.0187 -0.73305
3.0475 -0.73682
3.0761 -0.74074
3.1047 -0.74437
3.1329 -0.74812
3.1611 -0.7517
3.1891 -0.75525
3.217 -0.75882
3.2448 -0.76216
3.2724 -0.76567
3.3 -0.76892
3.3273 -0.77227
3.3546 -0.7755
3.3817 -0.77865
3.4087 -0.78189
3.4356 -0.78486
3.4623 -0.78803
3.4891 -0.79096
3.5156 -0.79396
3.5421 -0.79689
3.5684 -0.7997
3.5947 -0.80265
3.6209 -0.80532
3.6469 -0.80817
3.673 -0.81084
3.6988 -0.81352
3.7246 -0.81621
3.7503 -0.81872
3.7758 -0.82142
3.8015 -0.82384
3.8268 -0.82641
3.8523 -0.82885
3.8775 -0.83125
3.9027 -0.83375
3.9279 -0.83599
3.9529 -0.83844
3.9779 -0.84066
4.0028 -0.84297
4.0276 -0.84524
4.0524 -0.84737
4.0771 -0.84969
4.1018 -0.85172
